Day,Location,Music,Price,Time of Day,Weather,Temperature,Sales,Gross Income,Costs,Profit,Current Money
11,Business,none,$4 ,Evening,Constant,60,12,48,81,-33,23393
12,Park,none,$4 ,Morning,Constant,55,39,156,94.5,61.5,23454.5
12,Business,none,$3 ,Lunch,Constant,52,97,291,123.5,167.5,23622
12,Business,none,$2 ,Afternoon,Constant,62,121,242,135.5,106.5,23728.5
12,Park,none,$5 ,Evening,Constant,63,41,205,95.5,109.5,23838
13,Business,none,$2 ,Morning,Constant,49,130,260,140,120,23958
13,Park,none,$4 ,Lunch,Constant,58,52,208,101,107,24065
13,Business,none,$5 ,Afternoon,Constant,58,30,150,90,60,24125
13,Park,none,$5 ,Evening,Constant,57,41,205,95.5,109.5,24234.5
14,Park,none,$3 ,Morning,Constant,58,81,243,115.5,127.5,24362
14,Business,none,$2 ,Lunch,Constant,59,133,266,141.5,124.5,24486.5
14,Park,none,$3 ,Afternoon,Constant,63,86,258,118,140,24626.5
14,Park,none,$2 ,Evening,Constant,63,115,230,132.5,97.5,24724
15,Business,none,$5 ,Morning,Constant,59,53,265,101.5,163.5,24887.5
15,Park,none,$3 ,Lunch,Constant,56,61,183,105.5,77.5,24965
15,Park,none,$5 ,Afternoon,Constant,59,38,190,94,96,25061
15,Park,none,$2 ,Evening,Constant,62,118,236,134,102,25163
16,Business,none,$5 ,Morning,Constant,51,36,180,93,87,25250
16,Business,none,$3 ,Lunch,Constant,64,83,249,116.5,132.5,25382.5
16,Park,none,$5 ,Afternoon,Constant,56,52,260,101,159,25541.5
16,Business,none,$4 ,Evening,Constant,59,26,104,88,16,25557.5
17,Business,none,$5 ,Morning,Constant,64,15,75,82.5,-7.5,25550
17,Business,none,$3 ,Lunch,Constant,69,72,216,111,105,25655
17,Park,none,$5 ,Afternoon,Constant,60,28,140,89,51,25706
17,Business,none,$4 ,Evening,Constant,56,27,108,88.5,19.5,25725.5
18,Business,none,$4 ,Morning,Constant,56,68,272,109,163,25888.5
18,Business,none,$4 ,Lunch,Constant,56,57,228,103.5,124.5,26013
18,Business,none,$5 ,Afternoon,Constant,62,39,195,94.5,100.5,26113.5
18,Business,none,$3 ,Evening,Constant,62,8,24,79,-55,26058.5
19,Business,none,$4 ,Morning,Constant,61,56,224,103,121,26179.5
19,Park,none,$4 ,Lunch,Constant,61,44,176,97,79,26258.5
19,Park,none,$3 ,Afternoon,Constant,59,118,354,134,220,26478.5
19,Park,none,$3 ,Evening,Constant,64,65,195,107.5,87.5,26566
20,Park,none,$3 ,Morning,Constant,46,80,240,115,125,26691
20,Business,none,$4 ,Lunch,Constant,71,52,208,101,107,26798
20,Business,none,$2 ,Afternoon,Constant,61,133,266,141.5,124.5,26922.5
20,Business,none,$2 ,Evening,Constant,68,47,94,98.5,-4.5,26918
21,Business,none,$3 ,Morning,Constant,57,94,282,122,160,27078
21,Park,none,$5 ,Lunch,Constant,58,39,195,94.5,100.5,27178.5
21,Park,none,$4 ,Afternoon,Constant,59,54,216,102,114,27292.5
21,Business,none,$3 ,Evening,Constant,61,41,123,95.5,27.5,27320
22,Business,none,$2 ,Morning,Constant,53,121,242,135.5,106.5,27426.5
22,Park,none,$5 ,Lunch,Constant,54,37,185,93.5,91.5,27518
22,Business,none,$5 ,Afternoon,Constant,60,34,170,92,78,27596
22,Business,none,$3 ,Evening,Constant,58,34,102,92,10,27606
23,Park,none,$5 ,Morning,Constant,58,17,85,83.5,1.5,27607.5
23,Business,none,$5 ,Lunch,Constant,57,44,220,97,123,27730.5
23,Park,none,$3 ,Afternoon,Constant,60,82,246,116,130,27860.5
23,Business,none,$5 ,Evening,Constant,59,1,5,75.5,-70.5,27790
24,Park,none,$4 ,Morning,Constant,67,34,136,92,44,27834
24,Park,none,$2 ,Lunch,Constant,57,117,234,133.5,100.5,27934.5
24,Business,none,$3 ,Afternoon,Constant,64,96,288,123,165,28099.5
24,Business,none,$2 ,Evening,Constant,57,62,124,106,18,28117.5
25,Park,none,$3 ,Morning,Constant,69,48,144,99,45,28162.5
25,Park,none,$5 ,Lunch,Constant,63,18,90,84,6,28168.5
25,Business,none,$4 ,Afternoon,Constant,59,36,144,93,51,28219.5
25,Park,none,$4 ,Evening,Constant,64,37,148,93.5,54.5,28274
26,Business,none,$5 ,Morning,Constant,55,42,210,96,114,28388
26,Business,none,$3 ,Lunch,Constant,58,100,300,125,175,28563
26,Park,none,$4 ,Afternoon,Constant,59,55,220,102.5,117.5,28680.5
26,Business,none,$4 ,Evening,Constant,56,23,92,86.5,5.5,28686
27,Park,none,$2 ,Morning,Constant,60,108,216,129,87,28773
27,Business,none,$2 ,Lunch,Constant,53,128,256,139,117,28890
27,Business,none,$2 ,Afternoon,Constant,54,112,224,131,93,28983
27,Park,none,$3 ,Evening,Constant,53,95,285,122.5,162.5,29145.5
28,Park,none,$5 ,Morning,Constant,56,35,175,92.5,82.5,29228
28,Business,none,$5 ,Lunch,Constant,50,19,95,84.5,10.5,29238.5
28,Business,none,$3 ,Afternoon,Constant,56,79,237,114.5,122.5,29361
28,Business,none,$3 ,Evening,Constant,65,50,150,100,50,29411
29,Park,none,$4 ,Morning,Constant,53,49,196,99.5,96.5,29507.5
29,Park,none,$2 ,Lunch,Constant,54,118,236,134,102,29609.5
29,Business,none,$4 ,Afternoon,Constant,72,46,184,98,86,29695.5
29,Business,none,$2 ,Evening,Constant,54,49,98,99.5,-1.5,29694
30,Park,none,$2 ,Morning,Constant,58,88,176,119,57,29751
30,Park,none,$3 ,Lunch,Constant,66,59,177,104.5,72.5,29823.5
30,Business,none,$3 ,Afternoon,Constant,61,76,228,113,115,29938.5
30,Business,none,$4 ,Evening,Constant,59,4,16,77,-61,29877.5
31,Park,none,$3 ,Morning,Constant,60,65,195,107.5,87.5,29965
31,Park,none,$3 ,Lunch,Constant,60,69,207,109.5,97.5,30062.5
31,Park,none,$2 ,Afternoon,Constant,60,142,284,146,138,30200.5
31,Business,none,$5 ,Evening,Constant,65,0,0,75,-75,30125.5
32,Park,none,$2 ,Morning,Constant,61,94,188,122,66,30191.5
32,Business,none,$5 ,Lunch,Constant,54,55,275,102.5,172.5,30364
32,Business,none,$3 ,Afternoon,Constant,64,83,249,116.5,132.5,30496.5
32,Business,none,$2 ,Evening,Constant,63,29,58,89.5,-31.5,30465
33,Business,none,$3 ,Morning,Constant,55,85,255,117.5,137.5,30602.5
33,Business,none,$3 ,Lunch,Constant,59,75,225,112.5,112.5,30715
33,Business,none,$3 ,Afternoon,Constant,70,83,249,116.5,132.5,30847.5
33,Park,none,$3 ,Evening,Constant,58,75,225,112.5,112.5,30960
34,Park,none,$5 ,Morning,Constant,62,20,100,85,15,30975
34,Business,none,$2 ,Lunch,Constant,59,96,192,123,69,31044
34,Park,none,$4 ,Afternoon,Constant,60,69,276,109.5,166.5,31210.5
34,Park,none,$4 ,Evening,Constant,62,51,204,100.5,103.5,31314
35,Park,none,$2 ,Morning,Constant,59,75,150,112.5,37.5,31351.5
35,Park,none,$4 ,Lunch,Constant,71,28,112,89,23,31374.5
35,Business,none,$4 ,Afternoon,Constant,54,47,188,98.5,89.5,31464
35,Park,none,$2 ,Evening,Constant,60,118,236,134,102,31566
36,Business,none,$4 ,Morning,Constant,64,78,312,114,198,31764
36,Park,none,$2 ,Lunch,Constant,65,118,236,134,102,31866
36,Park,none,$3 ,Afternoon,Constant,51,102,306,126,180,32046
36,Park,none,$4 ,Evening,Constant,69,53,212,101.5,110.5,32156.5
37,Business,none,$2 ,Morning,Constant,66,131,262,140.5,121.5,32278
37,Park,none,$4 ,Lunch,Constant,56,37,148,93.5,54.5,32332.5
37,Park,none,$5 ,Afternoon,Constant,62,50,250,100,150,32482.5
37,Business,none,$3 ,Evening,Constant,62,34,102,92,10,32492.5
38,Business,none,$3 ,Morning,Constant,72,78,234,114,120,32612.5
38,Park,none,$5 ,Lunch,Constant,56,35,175,92.5,82.5,32695
38,Park,none,$2 ,Afternoon,Constant,61,112,224,131,93,32788
38,Park,none,$4 ,Evening,Constant,54,56,224,103,121,32909
39,Business,none,$5 ,Morning,Constant,61,26,130,88,42,32951
39,Business,none,$4 ,Lunch,Constant,65,56,224,103,121,33072
39,Business,none,$5 ,Afternoon,Constant,58,19,95,84.5,10.5,33082.5
39,Park,none,$2 ,Evening,Constant,60,107,214,128.5,85.5,33168
40,Business,none,$2 ,Morning,Constant,64,124,248,137,111,33279
40,Park,none,$3 ,Lunch,Constant,53,74,222,112,110,33389
40,Park,none,$3 ,Afternoon,Constant,63,99,297,124.5,172.5,33561.5
40,Park,none,$5 ,Evening,Constant,59,21,105,85.5,19.5,33581
